TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-19 23:38:19.638855	-93.182449	44.976479		0.472
2024-03-19 23:40:47.389137	-93.182442	44.976479	0.397	
2024-03-19 23:40:47.389285	-93.182442	44.976479		0.397
2024-03-19 23:42:19.706123	-93.182442	44.976479	0.445	
2024-03-19 23:42:19.707644	-93.182442	44.976479		0.446
2024-03-19 23:44:47.404260	-93.182442	44.976479	0.467	
2024-03-19 23:44:47.404516	-93.182442	44.976479		0.467
2024-03-19 23:46:19.583343	-93.182442	44.976479	0.402	
2024-03-19 23:46:19.583503	-93.182442	44.976479		0.402
2024-03-19 23:48:47.353762	-93.182449	44.976479	0.411	
2024-03-19 23:48:47.353949	-93.182449	44.976479		0.412
2024-03-19 23:50:19.654187	-93.182449	44.976479	0.461	
2024-03-19 23:50:19.655511	-93.182449	44.976479		0.462
2024-03-19 23:52:47.542899	-93.182449	44.976479	0.506	
2024-03-19 23:52:47.543028	-93.182449	44.976479		0.507
2024-03-19 23:54:19.644261	-93.182442	44.976490	0.366	
2024-03-19 23:54:19.644418	-93.182442	44.976490		0.367
2024-03-19 23:56:47.582873	-93.182449	44.976490	0.546	
2024-03-19 23:56:47.583086	-93.182449	44.976490		0.547
2024-03-19 23:58:19.911629	-93.182449	44.976490	0.627	
2024-03-19 23:58:19.911760	-93.182449	44.976490		0.628
2024-03-20 00:00:47.528272	-93.182449	44.976490	0.488	
2024-03-20 00:00:47.528424	-93.182449	44.976490		0.489
2024-03-20 00:02:19.750656	-93.182449	44.976490	0.377	
2024-03-20 00:02:19.750806	-93.182449	44.976490		0.378
2024-03-20 00:04:47.574753	-93.182449	44.976490	0.596	
2024-03-20 00:04:47.574942	-93.182449	44.976490		0.597
2024-03-20 00:06:19.688412	-93.182449	44.976490	0.468	
2024-03-20 00:06:19.688543	-93.182449	44.976490		0.468
2024-03-20 00:08:47.527731	-93.182449	44.976490	0.537	
2024-03-20 00:08:47.527912	-93.182449	44.976490		0.538
2024-03-20 00:10:19.754779	-93.182449	44.976490	0.528	
2024-03-20 00:10:19.754915	-93.182449	44.976490		0.528
2024-03-20 00:12:47.537838	-93.182449	44.976490	0.462	
2024-03-20 00:12:47.538041	-93.182449	44.976490		0.462
2024-03-20 00:14:19.801992	-93.182449	44.976490	0.500	
2024-03-20 00:14:19.803547	-93.182449	44.976490		0.501
2024-03-20 00:16:47.467087	-93.182449	44.976490	0.387	
2024-03-20 00:16:47.467335	-93.182449	44.976490		0.387
